City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Olinda,BR,2022-07-18 23:59:03,-8.0089,-34.8553,78.53,69,75,13.8
171,Port-Gentil,GA,2022-07-18 23:59:36,-0.7193,8.7815,73.36,88,40,8.05
172,Norman Wells,CA,2022-07-18 23:59:37,65.282,-126.8329,78.84,34,75,5.75
173,New Norfolk,AU,2022-07-18 23:59:37,-42.7826,147.0587,45.91,76,82,2.35
174,Lata,PT,2022-07-18 23:57:51,40.1629,-8.3327,59.02,97,11,0.87
175,Metlaltoyuca,MX,2022-07-18 23:59:38,20.7333,-97.85,80.65,77,91,7.72
176,Corn Island,NI,2022-07-19 00:00:38,12.1694,-83.0418,81.59,84,100,17.83
177,Chapais,CA,2022-07-18 23:57:38,49.7834,-74.8492,80.38,54,81,5.28
178,Marcavelica,PE,2022-07-19 00:00:39,-4.8778,-80.7053,70.81,61,88,15.26
179,Lima,PE,2022-07-18 23:58:16,-12.0432,-77.0282,62.91,78,100,9.22
180,Bichena,ET,2022-07-19 00:00:39,10.45,38.2,53.22,84,72,3.98
181,Sinegorye,RU,2022-07-19 00:00:40,62.0788,150.477,78.37,55,50,4.14
182,Taltal,CL,2022-07-18 23:58:12,-25.4,-70.4833,59.45,73,18,4.61
183,Itupeva,BR,2022-07-19 00:00:40,-23.1531,-47.0578,62.01,94,65,9.48
184,Ketchikan,US,2022-07-19 00:00:04,55.3422,-131.6461,58.77,83,97,1.72
185,Darnah,LY,2022-07-19 00:00:41,32.767,22.6367,77.18,72,0,13.51
186,Hambantota,LK,2022-07-19 00:00:42,6.1241,81.1185,77.94,84,76,8.77
187,Port Alfred,ZA,2022-07-18 23:58:54,-33.5906,26.891,63.14,62,61,7.78
188,Douentza,ML,2022-07-18 23:57:43,14.9951,-2.9517,89.71,44,49,2.53
189,Hervey Bay,AU,2022-07-19 00:00:43,-25.2986,152.8535,63.01,79,42,11.99
190,Grand Gaube,MU,2022-07-19 00:00:43,-20.0064,57.6608,67.37,69,54,8.01
191,Necochea,AR,2022-07-18 23:58:06,-38.5473,-58.7368,41.79,79,26,7.23
192,Svetlogorsk,BY,2022-07-19 00:00:44,52.6333,29.7333,56.82,82,91,5.7
193,Firozpur,IN,2022-07-19 00:00:44,30.9167,74.6,89.19,57,11,0.94
