City_ID,City,Country,Max Temp,Weather Descritption,Lat,Lng,Hotel Name
300,Harper,LR,75.38,overcast clouds,4.375,-7.7169,Screensaver
302,Navotas,PH,82.33,overcast clouds,14.4167,121.2268,Venancio Venadas Property
303,Burriana,ES,84.96,clear sky,39.889,-0.085,Hotel Beatriz
305,Concarneau,FR,71.89,scattered clouds,47.875,-3.9225,Brit Hotel de L' Océan
309,Alofi,NU,73.29,clear sky,-19.0595,-169.9187,Taloa Heights
310,Goiatuba,BR,82.49,scattered clouds,-18.0125,-49.3547,Hotel Barrocos
311,Winsum,NL,73.96,scattered clouds,53.33,6.5208,Tuinhuis
314,Peniche,PT,73.08,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
315,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
316,Saint-Francois,FR,72.84,clear sky,46.4154,3.9054,Manoir Du Bonheur
318,Mlonggo,ID,75.96,broken clouds,-6.5333,110.7,Asia Metal Art
320,Davila,PH,82.81,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
323,Matara,LK,77.4,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
324,Grand Baie,MU,72.07,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
327,Deqing,CN,80.64,moderate rain,30.5448,119.9599,Narada Boutique Hotel Huzhou Deqing
332,Lake Cowichan,CA,74.43,clear sky,48.825,-124.0546,The Cabin at Little Beach
333,Chengam,IN,77.74,overcast clouds,12.3,78.8,Chennai Restuarant Ac Bakery
334,Chapleau,CA,75.29,broken clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
336,Yellandu,IN,78.26,overcast clouds,17.6,80.3333,Varalaxmi
338,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
339,Betanzos,ES,72.25,few clouds,43.2804,-8.2147,Hotel Garelos Betanzos
342,Am Timan,TD,76.15,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
346,Sokoni,TZ,75.06,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
348,Weinan,CN,70.12,clear sky,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
349,Quirinopolis,BR,85.33,scattered clouds,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
351,Ca Mau,VN,77.25,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
353,Albert Town,JM,79.3,overcast clouds,18.2943,-77.5424,Meridian guest house
355,Sao Filipe,CV,76.53,overcast clouds,14.8961,-24.4956,Hotel Xaguate
356,Tual,ID,78.64,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
357,Pailon,BO,89.28,clear sky,-17.65,-62.75,La plaza
360,Jieshi,CN,82.78,clear sky,22.8134,115.8257,Yuehai Hotel
361,Chapais,CA,73.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
362,Faanui,PF,77.76,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
367,Cairo,EG,84.96,clear sky,30.0626,31.2497,Grand Hotel
371,Huilong,CN,77.38,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
374,Lakatoro,VU,79.47,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
375,Bombay,IN,82.38,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
376,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
377,Cockburn Town,TC,82.29,clear sky,21.4612,-71.1419,Osprey Beach Hotel
379,Kavaratti,IN,81.21,overcast clouds,10.5669,72.642,Green leaf
382,Sioux Lookout,CA,75.27,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
384,Little Current,CA,75.42,broken clouds,45.9793,-81.9248,Hawberry Motel
385,Moussoro,TD,86.92,scattered clouds,13.6408,16.4901,Hôtel Salama
388,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
389,Misratah,LY,81.05,clear sky,32.3754,15.0925,Almasa Hotel
395,Darnah,LY,75.81,clear sky,32.767,22.6367,فندق الفردوس
397,Jalu,LY,81.7,clear sky,29.0331,21.5482,صاحبة الفخامة
398,Kedougou,SN,84.78,scattered clouds,12.5579,-12.1743,Relais de Kédougou
399,San Rafael,AR,74.32,clear sky,-34.6177,-68.3301,Hotel San Rafael
402,Regina,CA,72.03,few clouds,50.4501,-104.6178,Wingate by Wyndham Regina
403,Lagoa,PT,72.45,clear sky,39.05,-27.9833,Casa Das Faias
406,Alenquer,BR,85.21,overcast clouds,-1.9417,-54.7383,Detinha Hotel
409,Ishigaki,JP,82.53,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
412,Sinnamary,GF,81.16,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
415,Dogondoutchi,NE,88.92,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
416,Padang,ID,76.06,scattered clouds,-0.9492,100.3543,Mercure Padang
417,Wajima,JP,73.8,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
418,Lasa,IT,72.48,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
420,Tura,IN,74.73,light rain,25.5198,90.2201,Hotel RIKMAN Continental
421,Kovur,IN,85.15,scattered clouds,14.4833,79.9833,Hotel Yesh Park
422,Awjilah,LY,81.25,clear sky,29.1081,21.2869,المنزل
427,Kirkland Lake,CA,71.89,moderate rain,48.1446,-80.0377,Comfort Inn
430,Kaseda,JP,81.25,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
433,Piacabucu,BR,74.98,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
434,Basco,PH,85.42,few clouds,20.4487,121.9702,Nathaniel's Lodge
436,Mazamari,PE,89.2,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
437,Masallatah,LY,76.69,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
439,Bani Walid,LY,78.6,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
441,Morant Bay,JM,89.71,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
443,Pacifica,US,82.15,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
445,Wanning,CN,80.62,scattered clouds,18.8003,110.3967,Paradise Hotel
447,Axim,GH,74.16,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
449,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
450,Mitsamiouli,KM,75.92,clear sky,-11.3847,43.2844,Foyer ADM
452,Grand Gaube,MU,72.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
455,Riosucio,CO,71.1,overcast clouds,5.4216,-75.7032,Finca Cafe La Ermita
456,Santiago,CL,71.55,clear sky,-33.4569,-70.6483,Hotel Panamericano
464,Touros,BR,77.16,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
468,Shenjiamen,CN,78.01,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
469,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
470,Kelheim,DE,87.04,overcast clouds,48.9167,11.8667,DORMERO Hotel Kelheim
471,Pacific Grove,US,78.21,scattered clouds,36.6177,-121.9166,Lovers Point Inn
475,Manokwari,ID,78.39,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
476,Valdez,EC,78.46,scattered clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
479,Saskatoon,CA,75.16,scattered clouds,52.1168,-106.6345,Sheraton Cavalier Saskatoon Hotel
480,Marienburg,PL,72.57,clear sky,54.0359,19.0266,Hotel Centrum Malbork
481,Xuddur,SO,75.02,overcast clouds,4.1213,43.8894,Banjanay Hotel
482,Akcaabat,TR,73.27,broken clouds,41.0212,39.5715,AKOF APART
483,Monrovia,LR,78.57,light rain,6.3005,-10.7969,Sunset Inn
484,Mayumba,GA,70.47,overcast clouds,-3.432,10.6554,LIKWALE LODGE
486,Daru,PG,75.81,overcast clouds,-9.0763,143.2092,Daru Lodge
487,Vao,NC,73.89,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
488,Djenne,ML,81.37,overcast clouds,13.9061,-4.5533,Hôtel Chez Baba
489,Alpena,US,80.19,mist,45.0617,-83.4327,Days Inn by Wyndham Alpena
490,Bontang,ID,78.35,clear sky,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
494,Gushikawa,JP,83.43,overcast clouds,26.3544,127.8686,Kirari Guest House
495,Lodwar,KE,81.68,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
496,Methoni,GR,73.26,clear sky,36.8197,21.7049,Methoni Beach Hotel
498,Makakilo City,US,79.12,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
499,Ocampo,MX,83.05,few clouds,21.65,-101.5,Hotel Estancia del Vaquero
500,Dutse,NG,72.18,overcast clouds,11.7594,9.3392,Central Mosque Galamawa
