City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descritption
270,Linfen,CN,36.0889,111.5189,74.44,63,0,4.59,clear sky
271,Tottori,JP,35.5,134.2333,73.38,88,70,3.94,broken clouds
272,Fairbanks,US,64.8378,-147.7164,60.76,73,75,5.75,broken clouds
273,Puerto Ayora,EC,-0.7393,-90.3518,76.96,97,88,5.01,overcast clouds
274,Silver City,US,32.7701,-108.2803,94.62,27,0,19.57,clear sky
275,Komsomolskiy,UZ,40.4272,71.7189,81.32,34,0,9.22,clear sky
276,Saint Anthony,US,45.0205,-93.218,89.15,39,0,28.77,clear sky
277,Coquimbo,CL,-29.9533,-71.3436,53.33,93,100,3.44,overcast clouds
278,Nador,MA,35.174,-2.9287,80.85,78,75,5.75,broken clouds
279,Chimbarongo,CL,-34.7,-71.05,54.48,56,3,1.52,clear sky
280,Floro,NO,61.5996,5.0328,67.23,100,75,8.05,broken clouds
281,Ovalle,CL,-30.5983,-71.2003,68.13,50,0,3.53,clear sky
282,Tasiilaq,GL,65.6145,-37.6368,42.96,81,43,0.63,scattered clouds
283,Williams Lake,CA,52.1415,-122.1445,80.06,39,20,1.99,few clouds
284,Palauig,PH,15.435,119.9045,81.68,76,100,4.5,overcast clouds
285,Iwanai,JP,42.9744,140.5089,65.28,95,76,2.59,broken clouds
286,Borujerd,IR,33.8973,48.7516,88.03,19,0,4.79,clear sky
287,Machiques,VE,10.0644,-72.545,90.61,57,53,7.27,broken clouds
288,Santa Rosa,PH,14.3122,121.1114,82.38,84,100,5.01,overcast clouds
289,Aykhal,RU,66.0,111.5,52.59,62,100,4.63,overcast clouds
290,Cumra,TR,37.5732,32.7745,69.94,51,3,8.05,clear sky
291,Esna,EG,25.2934,32.554,93.22,19,0,11.79,clear sky
292,Saint John,CA,45.2727,-66.0677,81.63,39,20,13.8,few clouds
293,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,94.93,34,0,0.0,clear sky
294,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,31,0,29.93,clear sky
295,Talnakh,RU,69.4865,88.3972,52.21,71,100,2.8,overcast clouds
296,Alghero,IT,40.5589,8.3181,87.89,45,0,6.91,clear sky
297,Tuatapere,NZ,-46.1333,167.6833,42.49,83,100,1.97,overcast clouds
298,Marawi,PH,7.9986,124.2928,69.89,94,49,3.65,scattered clouds
299,Bud,US,39.447,-86.1758,93.18,70,5,15.21,clear sky
300,Harper,LR,4.375,-7.7169,75.38,71,99,7.9,overcast clouds
301,Green Valley,US,31.8543,-110.9937,96.44,29,74,11.92,broken clouds
302,Navotas,PH,14.4167,121.2268,82.33,84,99,4.29,overcast clouds
303,Burriana,ES,39.889,-0.085,84.96,68,0,2.42,clear sky
304,Gien,FR,47.6933,2.6309,69.44,64,33,5.48,scattered clouds
305,Concarneau,FR,47.875,-3.9225,71.89,78,39,10.74,scattered clouds
306,Adrar,MR,20.5022,-10.0711,97.3,17,10,10.92,clear sky
307,Chilca,PE,-12.5211,-76.7372,62.6,81,26,7.96,scattered clouds
308,Moranbah,AU,-22.0016,148.0466,57.22,97,28,13.62,light rain
309,Alofi,NU,-19.0595,-169.9187,73.29,83,3,8.05,clear sky
310,Goiatuba,BR,-18.0125,-49.3547,82.49,22,38,9.4,scattered clouds
311,Winsum,NL,53.33,6.5208,73.96,68,36,8.21,scattered clouds
312,Saskylakh,RU,71.9167,114.0833,38.19,85,60,12.64,broken clouds
313,Kangaatsiaq,GL,68.3065,-53.4641,48.92,68,100,3.27,overcast clouds
314,Peniche,PT,39.3558,-9.3811,73.08,79,0,16.84,clear sky
315,Mahebourg,MU,-20.4081,57.7,71.89,60,40,18.41,scattered clouds
316,Saint-Francois,FR,46.4154,3.9054,72.84,60,0,11.5,clear sky
317,Hualmay,PE,-11.0964,-77.6139,65.73,72,46,10.36,scattered clouds
318,Mlonggo,ID,-6.5333,110.7,75.96,83,79,6.2,broken clouds
319,Ospitaletto,IT,45.1333,10.6,90.55,53,0,1.99,clear sky
320,Davila,PH,18.4726,120.5763,82.81,83,45,4.74,scattered clouds
321,Port Hardy,CA,50.6996,-127.4199,59.18,82,40,5.75,scattered clouds
322,Kununurra,AU,-15.7667,128.7333,60.78,77,88,3.44,overcast clouds
323,Matara,LK,5.9485,80.5353,77.4,89,84,13.38,broken clouds
324,Grand Baie,MU,-20.0182,57.5802,72.07,58,92,10.0,overcast clouds
325,Funtua,NG,11.5233,7.3081,67.5,95,100,18.25,heavy intensity rain
326,Tigil,RU,57.8,158.6667,60.03,80,32,4.36,scattered clouds
327,Deqing,CN,30.5448,119.9599,80.64,86,100,0.89,moderate rain
328,Fortuna,US,40.5982,-124.1573,68.94,74,36,3.0,scattered clouds
329,Mount Isa,AU,-20.7333,139.5,51.57,40,0,6.91,clear sky
330,Ilulissat,GL,69.2167,-51.1,60.82,39,75,14.97,broken clouds
331,Shatrovo,RU,56.5167,64.6333,56.25,90,0,7.65,clear sky
332,Lake Cowichan,CA,48.825,-124.0546,74.43,34,5,1.39,clear sky
333,Chengam,IN,12.3,78.8,77.74,84,100,8.3,overcast clouds
334,Chapleau,CA,47.8405,-83.4034,75.29,73,75,10.36,broken clouds
335,Kruisfontein,ZA,-34.0033,24.7314,54.88,91,94,3.56,overcast clouds
336,Yellandu,IN,17.6,80.3333,78.26,85,96,1.63,overcast clouds
337,Narsaq,GL,60.9167,-46.05,57.42,83,91,2.91,overcast clouds
338,Souillac,MU,-20.5167,57.5167,71.98,60,40,18.41,light rain
339,Betanzos,ES,43.2804,-8.2147,72.25,75,20,6.91,few clouds
340,Kiama,AU,-34.6833,150.8667,59.0,95,100,11.05,overcast clouds
341,Marzuq,YE,14.4,46.4667,79.23,55,100,5.75,overcast clouds
342,Am Timan,TD,11.0297,20.2827,76.15,81,98,3.24,overcast clouds
343,Itaituba,BR,-4.2761,-55.9836,91.56,58,40,8.05,thunderstorm
344,Ghanzi,BW,-21.5667,21.7833,55.56,39,0,7.2,clear sky
345,Lincoln,US,40.8,-96.667,92.28,47,0,17.27,clear sky
346,Sokoni,TZ,-6.4333,39.55,75.06,74,27,17.0,scattered clouds
347,Leningradskiy,RU,69.3833,178.4167,33.04,97,100,18.16,light snow
348,Weinan,CN,34.5036,109.5089,70.12,65,0,1.68,clear sky
